YB,l,b,F8,stdF8,F12,stdF12,F24,stdF24,F70,e_F70,Fit
1371,33.64260408,-0.227646176,1.14,0.2,0.53,0.39,4.85,0.05,173.26,10.98,0
1372,33.64570723,-0.312531889,0.08,0.1,0.02,0.35,0.02,0.36,3.64,0.18,0
1373,33.64983037,-0.025827063,1.3,0.19,0.31,0.38,0,0,0,0,0
1374,33.65373451,-0.017637616,2.58,0.04,0.91,0.21,0,0,0,0,0
1375,33.6537698,-0.165333183,0.09,0.17,0.04,0.37,0.05,0.4,3.76,0.13,0
1376,33.65397537,0.157118465,0.14,1,0.05,0.24,0.13,0.33,7.4,0.24,0
1377,33.68048522,-0.01734179,0.41,0.32,0.14,0.33,0.56,0.32,0,0,0
1378,33.70563431,0.283593982,0.1,0.16,0.03,0.41,0.11,0.45,6.47,0.27,0
1379,33.71124683,0.134007651,0.09,0.47,0.04,0.44,0.48,0.28,12.59,0.66,0
1380,33.72593862,-0.425135407,0.05,0.36,0.01,0.52,0.03,0.19,3.03,0.16,0
1381,33.72662625,-0.118624428,0.1,0.26,0.04,0.39,0.07,1.05,0,0,0
1382,33.739533,0.347657551,0.15,0.09,0.1,0.34,1.35,0.23,0,0,0
1383,33.74563374,0.610719361,0.06,0.35,0.03,0.17,0.02,0.66,0,0,0
1384,33.75216482,-0.064110407,0.22,0.13,0.18,0.17,2.25,0.2,0,0,0
1385,33.75531386,0.296896664,0.06,0.44,0.04,0.54,0.33,0.37,0,0,0
1386,33.76501356,0.036009606,0.52,0.14,0.07,0.25,0.18,0.29,0,0,1
1387,33.76747254,0.030909251,0.69,0.21,0.14,0.36,0.14,0.39,0,0,1
1388,33.77119126,-0.404690315,0.72,0.13,0.28,0.07,0.24,0.18,18.14,0.44,0
1389,33.80850508,-0.153119763,0.71,0.63,0.32,0.77,2.01,0.6,80.47,5.68,0
1390,33.81036074,-0.186687846,8.14,0.05,4.52,0.21,0,0,705.54,24.33,0
1391,33.83285959,-0.122724075,0.31,0.23,0.11,0.55,0.31,0.52,18.49,0.54,0
1392,33.87091963,0.057461901,0.39,0.21,0.13,0.55,0.34,0.4,0,0,0
1393,33.88347451,0.058296916,1.56,0.25,0.61,0.43,2.23,0.23,0,0,0
1394,33.9149335,0.107618537,12.23,0.26,0,0,0,0,0,0,0
1395,33.97843389,-0.203140766,0.09,0.16,0.03,1.04,0.04,0.58,1.4,0.09,0
1396,33.98954445,-0.009981457,0.49,0.66,0,0,0.68,0.24,0,0,0
1397,33.99078653,-0.004199974,0.89,0.09,0,0,1.62,0.22,108.24,0.76,0
1398,34.02159512,0.233899188,0.43,0.16,0.18,0.35,0.13,0.49,4.76,0.69,1
1399,34.03516682,0.164174439,0.04,0.22,0.03,0.4,0.07,0.46,0,0,0
1400,34.04346843,0.053551092,0.53,1.99,0,0,1.62,0.37,58.11,2.44,1
1401,34.04990531,-0.297963765,4.98,0.02,1.52,0.23,6.57,0.09,0,0,0
1402,34.0515109,-0.145422177,0.07,0.28,0.04,0.27,0.04,0.43,0,0,1
1403,34.06687895,-0.596959255,0.19,0.07,0.06,0.52,0.11,0.38,9.01,0.27,0
1404,34.08882773,0.435794018,1.81,0.25,1.4,0.35,8.41,0.16,64.81,3.48,0
1405,34.09646691,0.01806835,0.31,0.25,0.07,0.21,1.67,0.2,239.44,10.04,0
1406,34.10269143,-0.026985486,1.85,0.08,0.52,0.28,4.28,0.11,103.21,3.03,0
1407,34.13245295,0.471285267,5.17,0.09,3.67,0.14,0,0,618.22,18.85,0
1408,34.15418534,0.031774536,0.07,0.33,0.03,0.4,0.07,0.49,0,0,0
1409,34.19665233,-0.591653252,2.82,0.06,0.88,0.19,10.61,0.07,288.7,11.35,1
1410,34.20252241,0.105132813,0.3,0.34,0.17,0.51,0.26,0.88,0,0,0
1411,34.26863896,-0.207595506,0.27,0.05,0.05,0.13,0.12,0.23,62.81,3.19,0
1412,34.29854657,0.18185125,0.42,0.05,0.13,0.15,0.83,0.21,0,0,0
1413,34.31089058,-0.094628279,0.08,0.07,0.02,0.35,0.03,0.17,0,0,0
1414,34.3160817,0.009908025,0.51,0.47,0.23,0.35,0.18,0.55,10.05,0.91,1
1415,34.40295853,0.228011575,1.42,0.1,0.72,0.39,0,0,427.27,16.8,0
1416,34.41362099,-0.21545825,0.07,0.17,0.01,0.27,0.01,0.4,0,0,0
1417,34.4380631,0.060828055,0.29,0.03,0.12,0.4,0.05,0.11,19.64,1.37,0
1418,34.44341307,0.047270359,0.07,0.15,0.04,0.55,0.15,0.4,0,0,0
1419,34.45718667,0.008990535,0.15,0.1,0.03,0.29,0.07,0.24,14.26,1.06,0
1420,34.48817449,-0.177558836,0.34,0.1,0.12,0.07,0.06,0.55,0,0,1
1421,34.52508849,0.307439529,0.02,0.23,0,0.63,0.01,0.22,1.65,0.08,1
1422,34.56185338,-0.450263672,0.07,0.08,0.01,0.13,0.01,0.17,0,0,0
1423,34.59172723,0.243326725,0.41,0.14,0.15,0.62,2.02,0.29,62.82,2.8,0
1424,34.60177292,-0.412436185,0.2,0.49,0.07,0.96,0.25,0.3,2.63,0.19,0
1425,34.62402233,-0.130272339,1.55,0.02,0.86,0.23,4.01,0.31,64.98,2.15,0
1426,34.6278837,-0.025555191,0.41,0.12,0.15,0.17,0.5,0.32,78.8,5.15,1
1427,34.63278158,-0.023918423,0.19,0.04,0.02,0.18,0.22,0.13,13.26,1.59,0
1428,34.67758798,-0.109720809,0.72,0.16,0.29,0.26,1.45,0.29,30.16,0.94,0
1429,34.68082932,-0.501849613,1.03,0.96,0.52,0.92,0.39,0.64,18.02,0.29,1
1430,34.68497981,0.067445904,2.05,0.37,0.92,0.13,1.56,0.38,54.82,0.79,0
1431,34.69607929,-0.652951909,2.21,0.78,0.22,5.79,5.51,0.23,54.12,1.52,0
1432,34.69760777,-0.658028916,0.93,0.29,0.51,0.14,1.2,0.36,54.12,1.52,0
1433,34.75680025,0.024876815,2.21,0.01,0.74,0.43,6.19,0.14,135.7,5.66,0
1434,34.80175322,-0.255915937,0.79,0.55,0.33,0.36,0.49,0.43,35.21,0.71,0
1435,34.80512896,-0.921506252,0.04,0.53,0.03,0.7,0.02,0.53,0,0,0
1436,34.82255337,0.325879652,0.65,0.32,0.34,0.44,0.68,0.31,0,0,0
1437,34.86434777,0.034791998,0.08,0.07,0.02,0.61,0.09,0.37,4.81,0.22,0
1438,34.86542782,0.251668082,0.09,0.45,0.05,0.31,0.1,0.47,12.92,0.51,0
1439,34.90224458,0.068298541,0.12,0.46,0.08,0.29,0.05,0.75,4.46,0.19,0
1440,34.91038505,0.235092105,0.21,0.09,0.05,0.57,0.04,0.53,4.85,0.24,1
1441,34.93144784,0.014522385,0.13,0.37,0.05,0.47,0.03,0.05,8.47,0.25,0
1442,35.02044901,0.345020997,0.49,0.18,0.21,0.3,0,0,0,0,0
1443,35.03929637,-0.547664585,0.22,0.29,0.07,0.14,0.07,0.65,0,0,0
1444,35.04411623,0.327188321,1.32,0.07,0.54,0.13,3.36,0.1,50.56,1.76,0
1445,35.04558723,-0.448991138,0.17,0.01,0.06,0.19,0.19,0.29,5.88,0.33,0
1446,35.05282279,-0.517938923,2.43,0.2,1.93,0.42,0,0,221.23,10.24,0
1447,35.09950087,-0.243245131,1.23,0.56,0.54,0.51,1.88,0.24,72.94,1,1
1448,35.1095569,0.075319495,1.44,0.13,0.41,0.42,1.04,0.1,0,0,0
1449,35.11154238,0.071544613,0.89,0.45,0.31,0.47,0.8,0.5,0,0,0
1450,35.13826818,-0.76155382,0,0,0,0,0,0,0,0,0
1451,35.13842743,0.802060196,0.41,0.07,0.12,0.24,0.82,0.16,40.9,3.93,0
1452,35.15099463,0.822993155,0,0,0,0,0,0,0,0,0
1453,35.17280414,-0.949074192,0.02,0.52,0.03,0.27,0.04,0.54,0,0,0
1454,35.24207193,-0.171626744,0.15,0.08,0.05,0.36,0.11,0.4,5.29,0.23,0
1455,35.26135916,-0.052346802,0.06,0.06,0.01,0.21,0.02,0.1,2.58,0.18,0
1456,35.26640684,0.117866074,0.32,0.2,0.08,0.53,0.35,0.36,20.45,1.34,0
1457,35.34770171,0.347122829,0.4,0.93,0.04,0.48,0.22,0.44,0,0,0
1458,35.3579868,-0.75056896,0.15,0.37,0.09,0.19,0.07,0.35,0,0,1
1459,35.38672955,0.134357411,3.51,0.18,0.56,0.71,3.6,0.69,0,0,0
1460,35.39852451,0.024834015,0.51,0.15,0.16,0.12,0.5,0.3,0,0,1
1461,35.41153661,-0.843194604,1.04,0.44,0.55,0.66,0.46,0.57,0,0,1
1462,35.45185565,-0.294487464,0.76,0.05,0.29,0.36,2.93,0.37,78.73,3.11,0
1463,35.45631062,0.243386894,0.1,0.38,0.02,0.55,0.08,0.3,0,0,0
1464,35.46665725,0.137781246,16.67,0.25,5,0.36,0,0,1325.39,46.8,0
1465,35.46989062,0.361566316,0.17,0.09,0.05,0.22,0.06,0.29,4.26,0.13,0
1466,35.4716443,-0.43632581,1.56,0.01,1.83,0.26,0,0,38.34,1.91,0
1467,35.48227304,-0.043198022,0.16,0.37,0.06,0.67,0.08,0.35,8.55,0.28,1
1468,35.48908394,-0.011039226,0.15,0.51,0.09,0.51,0.33,0.32,0,0,0
1469,35.49489582,-0.077074989,0.2,0.48,0.07,0.44,0.12,0.32,0,0,1
1470,35.51392671,-0.389364143,0.47,0.2,0.15,0.5,0.17,0.39,15.59,0.33,1
1471,35.51677631,-0.031022798,0.15,0.2,0.01,0.55,0.12,0.2,81.34,4.6,1
1472,35.52663208,-0.145399357,0.18,0.19,0.05,0.41,0.26,0.45,0,0,0
1473,35.54945546,-0.358344939,0.03,0.46,0.01,0.29,0,1.39,0,0,1
1474,35.554836,0.014510223,0.32,0.25,0.1,0.55,1.37,0.31,0,0,0
1475,35.56260359,0.078355075,0.17,0.62,0.03,0.81,0,0,0,0,0
1476,35.57326042,0.069627955,3.81,0.24,0.99,0.78,0,0,280.68,11.6,0
1477,35.57762786,-0.585209485,0.69,1.1,0.42,0.58,0.73,0.29,23.02,1.17,0
1478,35.57796727,-0.029885579,1.71,0.32,1.4,0.53,0,0,1421.93,57.16,0
1479,35.57797752,0.048704242,0.42,0.55,0.18,0.74,1.68,0.46,91.52,3.86,1
1480,35.59756163,-0.114823721,0.26,0.09,0.06,0.22,0.5,0.28,15.36,0.52,0
1481,35.60148757,-0.203350331,0.31,0.29,0.1,0.45,0.84,0.63,59.54,2.53,0
1482,35.63971046,0.294687516,0.07,0.46,0.04,0.43,0.04,0.42,2.9,0.12,0
1483,35.67340703,-0.245525116,0.6,0.11,0.17,0.57,1.05,0.3,24.63,1.07,0
1484,35.67899916,0.301923425,0.03,0.16,0.01,0.28,0.02,0.41,2.24,0.1,1
1485,35.72105125,-0.929696314,0.55,0.4,0.19,1.04,0.2,0.46,0,0,0
1486,35.7459999,0.157549607,1.18,0.08,0.28,0.33,4.1,0.38,94.56,3.23,0
1487,35.82308667,-0.869061956,1.2,0.09,0.48,0.19,0.37,0.52,6.81,0.09,0
1488,35.83050963,-0.193046943,0.04,0.04,0.01,0.61,0.02,0.22,0,0,0
1489,35.84026105,-0.147084893,0.07,0.3,0.01,0.17,0.01,0.25,0,0,1
1490,35.94843722,-0.14748945,2.09,0.19,1,0.39,5.31,0.12,92.52,7.77,0
